X,Y,OBJECTID,BUSINESS_ID,NAME,ADDRESS,CITY,STATE,POSTAL_CODE,LATITUDE,LONGITUDE,PHONE_NUMBER
2138197.0603074,800302.03738296,1446648,0B9E3D12-B11A-1C55-EB0FCC2E3CD46B23,EURO CAFE,2101 S MAIN ST ,WAKE FOREST,NC,27587,35.94802112,-78.53310077,19197615002
2129823.72075489,807914.225570634,1446649,0C5157D2-CADC-8E92-01BEB1637A2B053F,Keith's BBQ and Catering,13037 Keith Store  RD ,WAKE FOREST,NC,27587,35.96903747,-78.56127609,19196186211
2118373.69378623,759528.5729983,1446650,0CE3979B-A039-CFC3-6B304DD3542E0063,TAQUERIA CINCO DE MAYO,2259 New Hope Church RD ,RALEIGH,NC,27604,35.83624718,-78.60062749,19194224933
2098864.66390672,741787.696734712,1446651,0CE827B2-FB6C-25E8-380B5FB77583D6F5,Dunkin Donuts-Baskin Robbins PC#342343,2316 Hillsborough St Ste 106,RALEIGH,NC,27607,35.78770631,-78.66664805,19198385255
2059535.0680254,697952.383486882,1446652,0CEBE91D-EDAB-D86D-EBC7B29B3EBEF7EF,LITTLE HEN,5160 SUNSET LAKE  RD ,APEX,NC,27539,35.66756646,-78.79955758,19193630000
2092358.20218214,744011.126014888,1446653,0CF9098D-D402-284E-2FA0C5F24F9614D3,JASMIN BISTRO,3801 HILLSBOROUGH ST ,RALEIGH,NC,27607,35.79387274,-78.68856288,19198351626
2111840.31872964,771508.393854886,1446654,0D049F23-D914-645B-5BBE16D45F81FC73,TENKO JAPAN,6325 FALLS OF NEUSE  RD ,RALEIGH,NC,27615,35.86922851,-78.62251606,19198764545
2076509.26340765,729389.459064052,1446655,0D0D9797-A3E9-42A7-C99E0AF1DFCD579A,WILD WING CAFE,2300 WALNUT  ST ,CARY,NC,27518,35.75382756,-78.74213421,19198030578
2096006.68110564,727355.78268522,1446656,0D17A191-EA58-02A6-1C12593EEF72A0B7,Pruitt Health - Raleigh Dining,2420 Lake Wheeler RD,RALEIGH,NC,27603,35.74808355,-78.67644314,19197550226
2102976.21080174,717301.238161802,1446657,0D71A75D-D665-A0EF-807BCD025AE2BAEC,BISCUITVILLE #184,4305 FAYETTEVILLE RD ,RALEIGH,NC,27603,35.72039578,-78.65307339,19198038112
2130977.8306514,798500.807061553,1446658,0D781320-0196-91B6-45AA697DB1F4C78C,DUNKIN DONUTS 348408,13600 NEW FALLS OF NEUSE RD ,RALEIGH,NC,27614,35.94316378,-78.55751775,19195560335
2101283.29522431,745482.742494211,1446659,0D86CC38-90AB-504B-CFE662D40469FA11,Zoes Kitchen,1028 OBERLIN RD ,RALEIGH,NC,27605,35.79783502,-78.65845011,19198380909
2119024.60488598,726574.793105468,1446660,0F37B006-D4E2-7054-55DA2C161E83A4F1,FRESH AND FRY SEAFOOD,2822 NEW BIRCH  DR ,RALEIGH,NC,27610,35.74570711,-78.59888069,19196152898
2102880.20443206,722487.738615543,1446661,0F4A8769-E8E3-7D8E-4F40C8675263904D,THE LATIN CORNER,421 CHAPANOKE RD ,RALEIGH,NC,27603,35.73464573,-78.65333581,19192648584
2124701.37010723,772061.107316375,1446662,0F7B6ECB-A771-FCF4-C152187E370E220E,Crazy Fire Mongolian Grill #8,7201 Old Wake Forest RD ,RALEIGH,NC,27616,35.87060485,-78.57909997,19198769000
2068467.80344073,757130.350760624,1446663,0F8E60EF-FA47-2FA8-36EBB349C4007C6F,FIREWURST,823 BASS PRO  LN ,RALEIGH,NC,27513,35.83009399,-78.76901939,19192340822
2126066.21580273,705943.092899129,1446664,0FCF1A50-B262-BB45-84CBD85EF5804DB5,Shuck'em Shack,1177 TIMBER DR E ,GARNER,NC,27529,35.68894454,-78.57544772,19197727035
2065063.01628706,747880.329234466,1446665,10059478-C540-1703-0F2CFAA3AD7FFDD8,BRAVO'S MEXICAN GRILL,208 GRANDE HEIGHTS DR ,CARY,NC,27513,35.804703,-78.7805746,19194813811
2086872.42312747,754957.38955538,1446666,0FECEB45-B2AE-76E8-77671B9858BA5FD6,"Rudinos's Pizza &amp; Grinders Sports Corner",3101-101 EDWARDS MILL RD ,RALEIGH,NC,27612,35.82399087,-78.70695216,19197864235
2122883.01711665,755232.748912796,1446667,100B15EA-15E7-74FA-752DECAD5927606A,PHO CALI,3310 CAPITAL  BLVD ,RALEIGH,NC,27604-3340,35.82439477,-78.5854745,19198787898
2050191.86853598,686536.631384045,1446668,100F694A-86A1-1842-7C1118D2F49043EE,MCDONALDS #32242,7100 GB ALFORD HWY ,HOLLY SPRINGS,NC,27540,35.63625053,-78.83107956,19195524071
,,1446669,10127DC9-0238-9FD7-DCABFDBB56041886,UNCORKED,105-111 SHADOWLAWN DR ,RALEIGH,NC,27614,,,111111119198
2107935.65790381,738483.076047376,1446670,10260,ROLY POLY,201  E HARGETT ST ,RALEIGH,NC,27601,35.77854007,-78.63610358,111111111111111
2069783.00061348,757061.103851885,1446671,10268,Umstead Hotel & Spa Pool Bar,100 Woodland Pond DR ,CARY,NC,27513,35.82989526,-78.76458306,111111111111111
2053145.59852089,732909.590475217,1446672,102BD5D6-9918-1501-C0F310627A616BAB,GOLDEN CHINA CHINESE RESTAURANT,2432 SW CARY PKY ,CARY,NC,27513,35.76363975,-78.82085718,19193807891
2064341.50624715,747665.031436712,1446673,102567C8-158A-D963-9E3C131A45EECF63,Arby's #6554,1031 Harrison AVE ,CARY,NC,27513,35.80411588,-78.78300948,19194691887
2060436.74896482,697675.438174635,1446674,1030ABD8-A8BB-ED7D-5D3813B21B3A6BF4,Rudino's,5217 Sunset Lake RD ,HOLLY SPRINGS,NC,27540,35.66680054,-78.79652372,111111111919
2087965.69718765,767620.170988292,1446675,104FD68A-10FF-100C-00D0DB759282A0B7,GINO'S PIZZA,6260 GLENWOOD AVE ,RALEIGH,NC,27612-2650,35.85876954,-78.70313649,19197837555
2067695.25085197,783685.192992046,1446676,10526,Capital Cabaret,6713 Mt Herman  RD ,MORRISVILLE,NC,27560,35.90305068,-78.77141936,111111111111111
2104469.09397081,740969.347977713,1446677,10561,C. GRACE,407 GLENWOOD AVE ,RALEIGH,NC,27603,35.78540491,-78.64776098,111111111111111
2075875.19446582,729172.437188387,1446678,10626B94-E736-E0A3-C0AAC0FC7FDC80D8,"CAPPOLLA'S PIZZA &amp; GRILL",2462 WALNUT ST ,CARY,NC,27518,35.75323584,-78.74427315,19198547777
2111379.65823364,773732.478645548,1446679,106E3C03-EFF1-EF8E-D1429DE4181BAB2F,Chick-fil-A #792,6701 FALLS OF NEUSE RD ,RALEIGH,NC,27615-5373,35.87534331,-78.62404244,19198454556
2091769.62986848,744215.460579962,1446680,1071EE5E-1226-9DA3-B05A180D943822C3,WAFFLE HOUSE #378,3909 HILLSBOROUGH ST,RALEIGH,NC,27607-5217,35.79443916,-78.69054542,19198331247
2124054.90519281,759328.173464715,1446681,10799,FLASHBACKS SPORTSBAR & LOUNGE,4004 CAPITAL BLVD ,RALEIGH,NC,27604,35.83563234,-78.58146313,111111111111111
2066378.73248765,743349.73954238,1446682,107A6D1D-103F-C532-FBE5DA646999368F,KOKO's Italian Kitchen,8306 Chapel Hill RD ,CARY,NC,27513,35.79224815,-78.77617181,19194613882
2107421.24521872,737774.45672971,1446683,108727C3-DF68-9215-BAE94296FF9EDA15,CLYDE COOPER'S BARBECUE,327 S WILMINGTON ST ,RALEIGH,NC,27601,35.77659846,-78.63784658,19198327614
2081459.29714273,682570.188529551,1446684,1089EAE9-91A5-E568-D745DD9818CEB333,NEW RAINBOW CHINESE RESTAURANT,3427 N Main ST ,FUQUAY-VARINA,NC,27526,35.62516136,-78.7258865,19195678272
2065063.01628706,747880.329234466,1446685,10972,THE GREAT,243 GRANDE HEIGHTS  DR ,CARY,NC,27513,35.804703,-78.7805746,111111111111111
2052783.95652765,766742.075631633,1446686,10AAB7A0-568B-ED86-1C7A14F3077A78C9,Daly Cafe and Pub at Holiday Inn,930 Airport BLVD ,MORRISVILLE,NC,27560,35.85658845,-78.82187156,19194651910
2091018.06313014,752341.510272712,1446687,10B95BE1-C6ED-6ED7-77651B9EDEF0A73C,RANDY'S PIZZA,2458 WYCLIFF RD ,RALEIGH,NC,27607,35.81676997,-78.692995,19193225990
2044901.6898119,743060.615120634,1446688,10CCCF7C-1447-1195-3E3A106F4313A94F,RED BOWL ASIAN BISTRO,2020 BOULDERSTONE WAY ,CARY,NC,27519,35.79156535,-78.84859346,19193889977
2152885.42364715,741699.840939298,1446689,10D20211-F51D-C965-289835667F477C67,MASSEY'S OLE TIMEY HOT DOGS,107 S FIRST AVE ,KNIGHTDALE,NC,27545,35.78683043,-78.48450505,
2082022.80388974,682370.714519054,1446690,10B98070-D0B7-842B-F98616B45457ED55,HWY 55 BURGERS SHAKES & FRIES,3421 N MAIN ST ,FUQUAY VARINA,NC,27526,35.62460903,-78.72399215,111111111111111
2089997.84108923,697591.795625374,1446691,10D8C2DC-15E0-B1E5-8A51E3137020AC26,SMITHFIELD'S CHICKEN'N BAR-B-Q,7911 FAYETTEVILLE RD ,RALEIGH,NC,27603,35.66636356,-78.69699987,19196619151
